問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説まとめ
1,第8章：腫瘍｜腫瘍について正しい記述はどれか,良性腫瘍は境界不明瞭である,悪性上皮性腫瘍は癌腫と呼ぶ,良性腫瘍は転移をする,悪性腫瘍は膨脹性発育をする,2,良性腫瘍は境界明瞭・非転移・膨張性発育。悪性腫瘍は境界不明瞭・転移あり・浸潤性発育。上皮性悪性腫瘍は癌腫と呼ぶ。
2,第8章：腫瘍｜悪性腫瘍について正しいのはどれか,増殖が遅い,転移する,膨張性発育をする,異型性が弱い,2,悪性腫瘍は増殖が速く、転移し、異型性が強く、浸潤性発育を示す。
3,第8章：腫瘍｜悪性腫瘍の特徴として誤っているのはどれか,浸潤性発育を示す,境界が明瞭である,転移を起こす,出血壊死を伴う,2,悪性腫瘍は境界不明瞭で浸潤性発育を示す。転移・壊死は典型的特徴。
4,第8章：腫瘍｜良性腫瘍の特徴はどれか（2つ）,浸潤性である,母地細胞からの変異が多い,他臓器には転移しない,全身状態に影響はない,3・4,良性腫瘍は転移せず、全身影響が少なく、膨張性発育を示す。
5,第8章：腫瘍｜悪性腫瘍の特徴として誤っているのはどれか,転移,圧排性,浸潤性発育,播種,2,悪性腫瘍は浸潤性発育であり、転移・播種を伴う。圧排性は良性腫瘍の特徴。
6,第8章：腫瘍｜腫瘍の組織構造について正しい記述はどれか,腫瘍は実質と間質からなる,良性腫瘍は発生母組織と類似しない,悪性腫瘍は異型が少ない,非上皮性腫瘍では実質が少ない,1,腫瘍は実質と間質から構成される。良性は母組織に類似し、悪性は異型が強い。
7,第8章：腫瘍｜組織学的悪性度の評価で重要性が最も低いのはどれか,成熟度,間質量,核分裂像,核異型,2,悪性度評価では分化度（成熟度）・核分裂像・核異型が重要で、間質量は重要度が低い。
8,第8章：腫瘍｜悪性腫瘍細胞の特徴として誤っている記述はどれか,核分裂像が多い,M/C比が小さい,極性を欠く,核小体が明瞭である,2,悪性細胞では核／細胞質比（M/C比）は大きくなるのが特徴。
9,第8章：腫瘍｜腫瘍の良性・悪性を判定する所見として適切でないのはどれか,病変境界の性状,転移の有無,核分裂像の頻度,蜂窩状構造の有無,4,境界・転移・核分裂像は重要だが、蜂窩状構造は判定指標ではない。
10,第8章：腫瘍｜悪性腫瘍の細胞と組織の特徴はどれか,核/細胞質比が小さい,核分裂像が少ない,分化度が低い,異型性が少ない,3,悪性腫瘍は分化度が低く、核分裂像が多く、異型性が強い。
11,第8章：腫瘍｜悪性腫瘍に属するのはどれか,白血病,軟骨腫,脂肪腫,神経鞘腫,1,白血病は非上皮性悪性腫瘍。軟骨腫・脂肪腫・神経鞘腫は良性腫瘍。
12,第8章：腫瘍｜腫瘍について正しい記述はどれか,線維腫は悪性非上皮性腫瘍である,乳頭腫は良性非上皮性腫瘍である,血管肉腫は悪性上皮性腫瘍である,腺腫は良性上皮性腫瘍である,4,線維腫は良性非上皮、乳頭腫は上皮性良性、血管肉腫は非上皮性悪性、腺腫は上皮性良性。
13,第8章：腫瘍｜癌が最も転移しやすい臓器はどれか,心臓,脾臓,肝臓,腎臓,3,血行性転移は肝臓・肺・骨髄などに起こりやすい。心臓や脾臓は起こりにくい。
